-40	45000
-35	35250
-30	27840
-25	22160
-20	17780
-15	14370
-10	11690
-5	9580
0	7900
5	6560
10	5480
15	4600
20	3890
25	3300
30	2820
35	2420
40	2080
45	1800
50	1566
55	1367
60	1198
65	1055
70	930
75	824
80	732
85	653
90	585
95	525
100	472
105	426
110	386
115	350
120	318
125	290
130	265
135	243
140	223
145	205
150	189
